"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Radka C.D.; Chen D.; Delucas L.J.; Aller S.G.","Radka, Christopher D. (57194832422); Chen, Dongquan (55914477300); Delucas, Lawrence J. (7006397729); Aller, Stephen G. (6602779798)","57194832422; 55914477300; 7006397729; 6602779798","The crystal structure of the Yersinia pestis iron chaperone YiuA reveals a basic triad binding motif for the chelated metal","2017","Acta Crystallographica Section D: Structural Biology","73","11","","921","939","18","6","10.1107/S2059798317015236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032743171&doi=10.1107%2fS2059798317015236&partnerID=40&md5=a0c23e9edffa2f7693ba25dceabbdd11","Biological chelating molecules called siderophores are used to sequester iron and maintain its ferric state. Bacterial substrate-binding proteins (SBPs) bind iron-siderophore complexes and deliver these complexes to ATP-binding cassette (ABC) transporters for import into the cytoplasm, where the iron can be transferred from the siderophore to catalytic enzymes. In Yersinia pestis, the causative agent of plague, the Yersinia iron-uptake (Yiu) ABC transporter has been shown to improve iron acquisition under iron-chelated conditions. The Yiu transporter has been proposed to be an iron-siderophore transporter; however, the precise siderophore substrate is unknown. Therefore, the precise role of the Yiu transporter in Y. pestis survival remains uncharacterized. To better understand the function of the Yiu transporter, the crystal structure of YiuA (YPO1310/y2875), an SBP which functions to present the iron-siderophore substrate to the transporter for import into the cytoplasm, was determined. The 2.20 and 1.77Å resolution X-ray crystal structures reveal a basic triad binding motif at the YiuA canonical substrate-binding site, indicative of a metal-chelate binding site. Structural alignment and computational docking studies support the function of YiuA in binding chelated metal. Additionally, YiuA contains two mobile helices, helix 5 and helix 10, that undergo 2-3Å shifts across crystal forms and demonstrate structural breathing of the c-clamp architecture. The flexibility in both c-clamp lobes suggest that YiuA substrate transfer resembles the Venus flytrap mechanism that has been proposed for other SBPs.YiuA, a Yersinia pestis substrate-binding protein, contains a putative basic triad binding motif in the canonical substrate-binding site, indicative of a metal-chelate complex binding site. Additional structural and simulation analyses support the putative function of YiuA binding bacterial siderophores. © Radka et al. 2017.","29095164","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85032743171"
"Hassan A.; Naz A.; Obaid A.; Paracha R.Z.; Naz K.; Awan F.M.; Muhmmad S.A.; Janjua H.A.; Ahmad J.; Ali A.","Hassan, Afreenish (36910126900); Naz, Anam (56230974500); Obaid, Ayesha (56368530400); Paracha, Rehan Zafar (55330210800); Naz, Kanwal (57191204407); Awan, Faryal Mehwish (56368616200); Muhmmad, Syed Aun (32167689800); Janjua, Hussnain Ahmed (18434003400); Ahmad, Jamil (57201514205); Ali, Amjad (57219876251)","36910126900; 56230974500; 56368530400; 55330210800; 57191204407; 56368616200; 32167689800; 18434003400; 57201514205; 57219876251","Pangenome and immuno-proteomics analysis of Acinetobacter baumannii strains revealed the core peptide vaccine targets","2016","BMC Genomics","17","1","732","","","","88","10.1186/s12864-016-2951-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987917097&doi=10.1186%2fs12864-016-2951-4&partnerID=40&md5=b3cfce4529ba68dcf5c0230d0a8a701e","Background: Acinetobacter baumannii has emerged as a significant nosocomial pathogen during the last few years, exhibiting resistance to almost all major classes of antibiotics. Alternative treatment options such as vaccines tend to be most promising and cost effective approaches against this resistant pathogen. In the current study, we have explored the pan-genome of A. baumannii followed by immune-proteomics and reverse vaccinology approaches to identify potential core vaccine targets. Results: The pan-genome of all available A. baumannii strains (30 complete genomes) is estimated to contain 7,606 gene families and the core genome consists of 2,445 gene families (~32 % of the pan-genome). Phylogenetic tree, comparative genomic and proteomic analysis revealed both intra- and inter genomic similarities and evolutionary relationships. Among the conserved core genome, thirteen proteins, including P pilus assembly protein, pili assembly chaperone, AdeK, PonA, OmpA, general secretion pathway protein D, FhuE receptor, Type VI secretion system OmpA/MotB, TonB dependent siderophore receptor, general secretion pathway protein D, outer membrane protein, peptidoglycan associated lipoprotein and peptidyl-prolyl cis-trans isomerase are identified as highly antigenic. Epitope mapping of the target proteins revealed the presence of antigenic surface exposed 9-mer T-cell epitopes. Protein-protein interaction and functional annotation have shown their involvement in significant biological and molecular processes. The pipeline is validated by predicting already known immunogenic targets against Gram negative pathogen Helicobacter pylori as a positive control. Conclusion: The study, based upon combinatorial approach of pan-genomics, core genomics, proteomics and reverse vaccinology led us to find out potential vaccine candidates against A. baumannii. The comprehensive analysis of all the completely sequenced genomes revealed thirteen putative antigens which could elicit substantial immune response. The integration of computational vaccinology strategies would facilitate in tackling the rapid dissemination of resistant A.baumannii strains. The scarcity of effective antibiotics and the global expansion of sequencing data making this approach desirable in the development of effective vaccines against A. baumannii and other bacterial pathogens. © 2016 The Author(s).","27634541","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84987917097"
"Guo W.; Li F.; Xia J.; Wang W.","Guo, Wenbin (56518823000); Li, Fang (56412226300); Xia, Jinmei (57193773552); Wang, Weiyi (56735659000)","56518823000; 56412226300; 57193773552; 56735659000","Complete genome sequence of a marine-derived bacterium Pseudomonas sp. SXM-1 and characterization of its siderophore through antiSMASH analysis and with mass spectroscopic method","2021","Marine Genomics","55","","100802","","","","2","10.1016/j.margen.2020.100802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087132931&doi=10.1016%2fj.margen.2020.100802&partnerID=40&md5=bc11b44007656235c3eb920a7c1a3fbf","Pseudomonas sp. SXM-1, isolated from coastal sea water of Xiamen Bay, could produce extracellular pyoverdine. Here, we present the complete genome of Pseudomonas sp. SXM-1, which will facilitate the genome mining of the pyoverdine synthetase coding gene cluster. The sequenced genome, a circular chromosome, is 7,226,716 bp in length, which contains 60.78% of GC bases, 6549 proteins, 67 tRNAs, and 16 rRNA encoding genes. The structure of pyoverdine produced by Pseudomonas sp. SXM-1 was predicted by using the antiSMASH 5.1.2 tool and further characterized with mass spectroscopic method. © 2020","33517979","Data paper","Final","","Scopus","2-s2.0-85087132931"
"Cotton J.L.; Tao J.; Balibar C.J.","Cotton, Jennifer L. (59290478100); Tao, Jianshi (7202301187); Balibar, Carl J. (9240750600)","59290478100; 7202301187; 9240750600","Identification and characterization of the Staphylococcus aureus gene cluster coding for staphyloferrin A","2009","Biochemistry","48","5","","1025","1035","10","71","10.1021/bi801844c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61449173810&doi=10.1021%2fbi801844c&partnerID=40&md5=7adb1ff4dca9f6d328142d0bdd0994dd","Siderophores are key virulence factors that allow bacteria to grow in iron-restricted environments. The Gram-positive pathogen Staphylococcus aureus is known to produce four siderophores for which genetic and/or structural data are unknown. Here we characterize the gene cluster responsible for producing the prevalent siderophore staphyloferrin A. In addition to expressing the cluster in the heterologous host Escherichia coli, which confers the ability to synthesize the siderophore, we reconstituted staphyloferrin A biosynthesis in vitro by expressing and purifying two key enzymes in the pathway. As with other polycarboxylate siderophores, staphyloferrin A is biosynthesized using the recently described nonribosomal peptide synthetase independent siderophore (NIS) biosynthetic pathway. Two NIS synthetases condense two molecules of citric acid to D-ornithine in a stepwise ordered process with SfnaD using the δ-amine as a nucleophile to form the first amide followed by SfnaB utilizing the α-amine to complete staphyloferrin A synthesis. © 2009 American Chemical Society.","19138128","Article","Final","","Scopus","2-s2.0-61449173810"
"Gómez-Casado C.; Roth-Walter F.; Jensen-Jarolim E.; Díaz-Perales A.; Pacios L.F.","Gómez-Casado, Cristina (53163733500); Roth-Walter, Franziska (57222079487); Jensen-Jarolim, Erika (7003817550); Díaz-Perales, Araceli (6602872247); Pacios, Luis F. (7003467942)","53163733500; 57222079487; 7003817550; 6602872247; 7003467942","Modeling iron-catecholates binding to NGAL protein","2013","Journal of Molecular Graphics and Modelling","45","","","111","121","10","18","10.1016/j.jmgm.2013.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883524152&doi=10.1016%2fj.jmgm.2013.08.013&partnerID=40&md5=812c1320b84396335bc7e8a29883035b","Neutrophil gelatinase associated lipocalin (NGAL) protein is attracting a great interest because of its antibacterial properties played upon modulating iron content in competition against iron acquisition processes developed by pathogenic bacteria that bind selective ferric iron chelators (siderophores). Besides its known high affinity to enterobactin, the most important siderophore, it has been recently shown that NGAL is able to bind Fe(III) coordinated by catechols. The selective binding of Fe(III)-catechol ligands to NGAL is here studied by using iron coordination structures with one, two, and three catecholate ligands. By means of a computational approach that consists of B3LYP/6-311G(d,p) quantum calculations for geometries, electron properties and electrostatic potentials of ligands, protein-ligand flexible docking calculations, analyses of protein-ligand interfaces, and Poisson-Boltzmann electrostatic potentials for proteins, we study the binding of iron catecholate ligands to NGAL as a central member of the lipocalin family of proteins. This approach provides a modeling basis for exploring in silico the selective binding of iron catecholates ligands giving a detailed picture of their interactions in terms of electrostatic effects and a network of hydrogen bonds in the protein binding pocket. © 2013 Elsevier Inc. All rights reserved.","24018130","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84883524152"
"Spohn M.; Edenhart S.; Alanjary M.; Ziemert N.; Wibberg D.; Kalinowski J.; Niedermeyer T.H.J.; Stegmann E.; Wohlleben W.","Spohn, Marius (56366145200); Edenhart, Simone (57202216365); Alanjary, Mohammad (43762066600); Ziemert, Nadine (23979136400); Wibberg, Daniel (37006111200); Kalinowski, Jörn (57195967659); Niedermeyer, Timo H. J. (8209397000); Stegmann, Evi (24173678200); Wohlleben, Wolfgang (56262610400)","56366145200; 57202216365; 43762066600; 23979136400; 37006111200; 57195967659; 8209397000; 24173678200; 56262610400","Identification of a novel aminopolycarboxylic acid siderophore gene cluster encoding the biosynthesis of ethylenediaminesuccinic acid hydroxyarginine (EDHA)","2018","Metallomics","10","5","","722","734","12","7","10.1039/c8mt00009c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047492877&doi=10.1039%2fc8mt00009c&partnerID=40&md5=267afe60a3116c9cf382dea3b62fe854","The mechanism of siderophore-mediated iron supply enhances fitness and survivability of microorganisms under iron limited growth conditions. One class of naturally occurring ionophores is the small aminopolycarboxylic acids (APCAs). Although they are structurally related to the most famous anthropogenic chelating agent, ethylenediaminetetraacetate (EDTA), they have been largely neglected by the scientific community. Here, we demonstrate the detection of APCA gene clusters by a computational screening of a nucleotide database. This genome mining approach enabled the discovery of a yet unknown APCA gene cluster in well-described actinobacterial strains, either known for their potential to produce valuable secondary metabolites (Streptomyces avermitilis) or for their pathogenic lifestyle (Streptomyces scabies, Corynebacterium pseudotuberculosis, Corynebacterium ulcerans and Nocardia brasiliensis). The herein identified gene cluster was shown to encode the biosynthesis of APCA, ethylenediaminesuccinic acid hydroxyarginine (EDHA). Detailed and comparatively performed production and transcriptional profiling of EDHA and its biosynthesis genes showed strict iron-responsive biosynthesis. © 2018 The Royal Society of Chemistry.","29667664","Article","Final","","Scopus","2-s2.0-85047492877"
"Bao G.; Clifton M.; Hoette T.M.; Mori K.; Deng S.-X.; Qiu A.; Viltard M.; Williams D.; Paragas N.; Leete T.; Kulkarni R.; Li X.; Lee B.; Kalandadze A.; Ratner A.J.; Pizarro J.C.; Schmidt-Ott K.M.; Landry D.W.; Raymond K.N.; Strong R.K.; Barasch J.","Bao, Guanhu (55440466500); Clifton, Matthew (7005428415); Hoette, Trisha M. (15519205600); Mori, Kiyoshi (35408331700); Deng, Shi-Xian (8656677400); Qiu, Andong (15070925800); Viltard, Melanie (12647433500); Williams, David (57202553352); Paragas, Neal (9639103200); Leete, Thomas (6508150584); Kulkarni, Ritwij (7201509372); Li, Xiangpo (36463874200); Lee, Belinda (36463749200); Kalandadze, Avtandil (36980623600); Ratner, Adam J. (7103141291); Pizarro, Juan Carlos (8404184200); Schmidt-Ott, Kai M. (6603112558); Landry, Donald W. (26643078900); Raymond, Kenneth N. (56411677100); Strong, Roland K. (7103163921); Barasch, Jonathan (14022267100)","55440466500; 7005428415; 15519205600; 35408331700; 8656677400; 15070925800; 12647433500; 57202553352; 9639103200; 6508150584; 7201509372; 36463874200; 36463749200; 36980623600; 7103141291; 8404184200; 6603112558; 26643078900; 56411677100; 7103163921; 14022267100","Iron traffics in circulation bound to a siderocalin (Ngal)-catechol complex","2010","Nature Chemical Biology","6","8","","602","609","7","263","10.1038/nchembio.402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955886660&doi=10.1038%2fnchembio.402&partnerID=40&md5=ae3b5a2e7bf8e929f6c6c131ec46e711","The lipocalins are secreted proteins that bind small organic molecules. Scn-Ngal (also known as neutrophil gelatinase associated lipocalin, siderocalin, lipocalin 2) sequesters bacterial iron chelators, called siderophores, and consequently blocks bacterial growth. However, Scn-Ngal is also prominently expressed in aseptic diseases, implying that it binds additional ligands and serves additional functions. Using chemical screens, crystallography and fluorescence methods, we report that Scn-Ngal binds iron together with a small metabolic product called catechol. The formation of the complex blocked the reactivity of iron and permitted its transport once introduced into circulation in vivo. Scn-Ngal then recycled its iron in endosomes by a pH-sensitive mechanism. As catechols derive from bacterial and mammalian metabolism of dietary compounds, the Scn-Ngal-catechol-Fe(III) complex represents an unforeseen microbial-host interaction, which mimics Scn-Ngal-siderophore interactions but instead traffics iron in aseptic tissues. These results identify an endogenous siderophore, which may link the disparate roles of Scn-Ngal in different diseases. © 2010 Nature America, Inc. All rights reserved.","20581821","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77955886660"
"Kim W.E.; Charov K.; Džunková M.; Becraft E.D.; Brown J.; Schulz F.; Woyke T.; La Clair J.J.; Stepanauskas R.; Burkart M.D.","Kim, Woojoo E. (59062423100); Charov, Katherine (55195641100); Džunková, Mária (36971193900); Becraft, Eric D. (35083082700); Brown, Julia (55500629100); Schulz, Frederik (55575265700); Woyke, Tanja (6602417287); La Clair, James J. (6701630453); Stepanauskas, Ramunas (55849846400); Burkart, Michael D. (7006138799)","59062423100; 55195641100; 36971193900; 35083082700; 55500629100; 55575265700; 6602417287; 6701630453; 55849846400; 7006138799","Synthase-Selective Exploration of a Tunicate Microbiome by Activity-Guided Single-Cell Genomics","2021","ACS Chemical Biology","16","5","","813","819","6","5","10.1021/acschembio.1c00157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106359597&doi=10.1021%2facschembio.1c00157&partnerID=40&md5=e1c2aaf37d52945cc1ebf329e37ebbf5","While thousands of environmental metagenomes have been mined for the presence of novel biosynthetic gene clusters, such computational predictions do not provide evidence of their in vivo biosynthetic functionality. Using fluorescent in situ enzyme assay targeting carrier proteins common to polyketide (PKS) and nonribosomal peptide synthetases (NRPS), we applied fluorescence-activated cell sorting to tunicate microbiome to enrich for microbes with active secondary metabolic capabilities. Single-cell genomics uncovered the genetic basis for a wide biosynthetic diversity in the enzyme-active cells and revealed a member of marine Oceanospirillales harboring a novel NRPS gene cluster with high similarity to phylogenetically distant marine and terrestrial bacteria. Interestingly, this synthase belongs to a larger class of siderophore biosynthetic gene clusters commonly associated with pestilence and disease. This demonstrates activity-guided single-cell genomics as a tool to guide novel biosynthetic discovery.  © ","33955744","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106359597"
"Imperi F.; Putignani L.; Tiburzi F.; Ambrosi C.; Cipollone R.; Ascenzi P.; Visca P.","Imperi, Francesco (8602718100); Putignani, Lorenzo (6603168130); Tiburzi, Federica (23098858500); Ambrosi, Cecilia (7003746984); Cipollone, Rita (16177212600); Ascenzi, Paolo (7101910325); Visca, Paolo (57209139390)","8602718100; 6603168130; 23098858500; 7003746984; 16177212600; 7101910325; 57209139390","Membrane-association determinants of the ω-amino acid monooxygenase PvdA, a pyoverdine biosynthetic enzyme from Pseudomonas aeruginosa","2008","Microbiology","154","9","","2804","2813","9","20","10.1099/mic.0.2008/018804-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53449085207&doi=10.1099%2fmic.0.2008%2f018804-0&partnerID=40&md5=e773966c325bc33eb7f2876bcc0ecc47","The L-ornithine Nδ-oxygenase PvdA catalyses the Nδ-hydroxylation of L-ornithine in many Pseudomonas spp., and thus provides an essential enzymic function in the biogenesis of the pyoverdine siderophore. Here, we report a detailed analysis of the membrane topology of the PvdA enzyme from the bacterial pathogen Pseudomonas aeruginosa. Membrane topogenic determinants of PvdA were identified by computational analysis, and verified in Escherichia coli by constructing a series of translational fusions between PvdA and the PhoA (alkaline phosphatase) reporter enzyme. The inferred topological model resembled a eukaryotic reverse signal-anchor (type III) protein, with a single N-terminal domain anchored to the inner membrane, and the bulk of the protein spanning the cytosol. According to this model, the predicted transmembrane region should overlap the putative FAD-binding site. Cell fractionation and proteinase K accessibility experiments in P. aeruginosa confirmed the membrane-bound nature of PvdA, but excluded the transmembrane topology of its N-terminal hydrophobic region. Mutational analysis of PvdA, and complementation assays in a P. aeruginosa DpvdA mutant, demonstrated the dual (structural and functional) role of the PvdA N-terminal domain. © 2008 SGM.","18757814","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-53449085207"
"Manning T.J.; Thomas J.; Osiro S.; Smith J.; Abadi G.; Noble L.; Phillips D.","Manning, Thomas J. (7006549692); Thomas, Jessica (55514729100); Osiro, Stephen (54959768100); Smith, Justin (7410177293); Abadi, Giso (24479339800); Noble, Lyn (24480248400); Phillips, Dennis (57214248601)","7006549692; 55514729100; 54959768100; 7410177293; 24479339800; 24480248400; 57214248601","Computational studies of Fe(III) binding to bryostatins, bryostatin analogs, siderophores and marine natural products: Arguments for ferric complexes in medicinal applications","2008","Natural Product Research","22","5","","399","413","14","7","10.1080/14786410701590087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48149111999&doi=10.1080%2f14786410701590087&partnerID=40&md5=4cfb82266a18a48a73762dc3310df427","In this computational study, geometric factors are calculated by applying semi-empirical methods (PM3) that support experimental evidence from this lab where bryostatins can bind trivalent iron with six Fe-O bonds forming an octahedral geometry. The geometric factors are calculated for all 20 structures (Fe3+ bound to bryostatin 1-20) as a neutral, monovalent, and divalent species. The average Fe-O bond distances and bond angles are compared to those of known marine and terrestrial siderophores. From these two data sets, we then examined other known marine natural products (MNPs) that can form a hexavalent complex with six Fe-O bonds and draw conclusions about their potential biological role as marine siderophores. This computational data indicates that Fe(III) strongly bonds to a host of MNPs, increasing their water solubility, contracting their structure, hence allowing transport through cell membranes more readily, and in some cases, stabilizing ester bonds that are susceptible to hydrolysis. It is argued that administering medicinally bryostatin, its analogs or other MNPs as a ferric complex, holds some fundamental chemical advantages compared to its administration as a neutral uncomplexed species.","18404560","Article","Final","","Scopus","2-s2.0-48149111999"
