CLASS,nombre,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsQ,nBondsM,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,n11Ring,n12Ring,nG12Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nF11Ring,nF12Ring,nFG12Ring,nTRing,nT4Ring,nT5Ring,nT6Ring,nT7Ring,nT8Ring,nT9Ring,nT10Ring,nT11Ring,nT12Ring,nTG12Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,n11HeteroRing,n12HeteroRing,nG12HeteroRing,nFHeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nF11HeteroRing,nF12HeteroRing,nFG12HeteroRing,nTHeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nT11HeteroRing,nT12HeteroRing,nTG12HeteroRing,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MQNs_atom_counts_c,MQNs_atom_counts_f,MQNs_atom_counts_cl,MQNs_atom_counts_br,MQNs_atom_counts_i,MQNs_atom_counts_s,MQNs_atom_counts_p,MQNs_atom_counts_an,MQNs_atom_counts_cn,MQNs_atom_counts_ao,MQNs_atom_counts_co,MQNs_atom_counts_hac,MQNs_bond_counts_asb,MQNs_bond_counts_adb,MQNs_bond_counts_atb,MQNs_bond_counts_csb,MQNs_bond_counts_cdb,MQNs_bond_counts_ctb,MQNs_bond_counts_rbc,MQNs_polarity_counts_hbam,MQNs_polarity_counts_hba,MQNs_polarity_counts_hbdm,MQNs_polarity_counts_hbd,MQNs_polarity_counts_negc,MQNs_polarity_counts_posc,MQNs_topology_counts_asv,MQNs_topology_counts_adv,MQNs_topology_counts_atv,MQNs_topology_counts_aqv,MQNs_topology_counts_cdv,MQNs_topology_counts_ctv,MQNs_topology_counts_cqv,MQNs_topology_counts_r3,MQNs_topology_counts_r4,MQNs_topology_counts_r5,MQNs_topology_counts_r6,MQNs_topology_counts_r7,MQNs_topology_counts_r8,MQNs_topology_counts_rg,MQNs_topology_counts_rgIO,MQNs_topology_counts_afrc,MQNs_topology_counts_bfrc,MolLogP
h,006_Ch.mol2,105,51,54,0,33,6,12,0,0,0,0,0,0,0,51,105,96,91,37,9,9,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3181332769945,4335.60005797045,43427.4552179256,44779.7628738586,0.096820522926473,0.96980091967565,7.97887082427182,0.000223683205717,0.995301856895808,0.739296628193292,0.105285824674193,4.33930052950316,3436.06493037864,6.81627073978194E+028,-4.2,9.66174886621315,24.0682523224516,18.0344479930378,85.1349455325326,45.731534424622,78.0822610585661,38.1287346193934,7.33443873282656,3.96123478518128,2.02475289121045,24.0822610585661,11.7986387850742,7.33443873282656,3.96123478518128,2.02475289121045,180.2899,726.825000000002,726.379971168002,51,672.393,9,18,13,8,18,32,288,5,0,1,1,0,1,1,0,0,0,1,0.636363636363636,0,0,272.6,373.511821431114,31.2938230183175,44.3958245675623,15.189653174896,0,0,16.7193135902078,71.5390755625221,94.1481706948124,31.2326392539802,20.8773615617053,2.8236841566564,18.9703577448662,17.7215391880545,5.96930528795185,130.975406216247,2.86239931446527,25.8092798814728,5.71971697572627,95.9656778689004,39.1675347816967,34.8755288283145,0,0,35.5052039347094,16.339343682303,136.624686456162,33.504086058231,0,139.596135491511,34.8755288283145,9.94096728501071,0,0,0,0,0,237.04294227082,0,0,0,0,0,0,30.5830807991459,74.4875016271359,28.7672231044309,0,439.195013582939,83.46079714536,9.75914689683172,-9.40352192855115,-19.16823596836,-23.8228888833889,-46.1906836351738,-42.5796272096568,0,0,33,0,0,0,0,0,0,4,2,12,0,51,90,9,0,6,0,0,32,30,18,0,0,0,0,6,6,14,19,0,4,2,0,0,0,1,0,0,0,0,0,0,-0.172099999999992
h,006.mol2,113,55,58,0,36,6,13,0,0,0,0,0,0,0,55,113,103,97,39,10,10,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.09042091197656,3932.89180853964,59646.6834637329,61409.8919335941,0.064043294731613,0.971287875383858,8.93452801711056,0.000246965317804,0.997947121043956,0.820713156210783,0.063278207068282,4.62962153149519,3760.89995859957,4.35390076027814E+032,-4.69,10.4276683657663,25.4009463022201,18.4658605731216,91.7122958017222,49.0648677579553,83.99050934903,41.1356451691254,7.97500149386001,4.38793207472378,2.27348692946173,25.99050934903,12.6999765258061,7.97500149386001,4.38793207472378,2.27348692946173,194.5465,782.889000000002,782.406185916002,55,724.425,7,19,13,7,19,34,310,6,0,1,1,0,1,1,0,0,0,1,0.638888888888889,0,0,266.89,402.691881583733,30.4740157734417,44.3958245675623,19.9841903589679,0,0,16.7193135902078,71.5390755625221,116.200441049412,31.2326392539802,18.0536774050489,2.8236841566564,24.8775374742177,17.7215391880545,5.96930528795185,141.170810580684,2.86239931446527,30.7091896123233,0,102.817569986196,46.1433616819789,34.8755288283145,0,0,41.4123836640609,10.6196267065768,154.407602816646,38.2986232423028,0,154.672578945828,34.8755288283145,7.1172831283543,0,0,0,0,0,255.958033772874,0,0,0,0,0,0,30.5830807991459,79.8883688075008,33.5617602885028,0,474.580000599249,96.5193110636968,9.3584024829866,-8.03835202268193,-23.3992543128927,-24.9906458058966,-47.8428424475938,-53.7699528902012,0,0,36,0,0,0,0,0,0,4,2,13,0,55,97,10,0,6,0,0,34,32,19,0,0,0,0,7,6,15,21,0,4,2,0,0,0,1,0,0,0,0,0,0,0.347500000000009
h,007.mol2,108,52,56,0,34,6,12,0,0,0,0,0,0,0,52,108,99,94,38,9,9,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.28352669795346,3627.9333967188,55980.1118651621,56986.5821778955,0.063662940609308,0.982338468561046,8.87071329436282,0.000270770811132,0.997971457504159,0.82224256254667,0.08933688923942,4.44872007486654,3542.9753490133,4.76708476002952E+031,-4.2,9.71683651308096,24.8918698527324,17.8308734413917,87.6349455325326,46.9428592900272,80.5822610585661,39.4051278216434,7.44624213170155,4.07303818405627,2.09834728738796,24.5822610585661,12.0222455828242,7.44624213170155,4.07303818405627,2.09834728738796,185.1622,740.852000000002,740.395621232002,52,684.404,8,18,13,8,18,33,294,5,0,1,1,0,1,1,0,0,0,1,0.647058823529412,0,0,258.61,382.838619400203,30.8839193958796,44.3958245675623,15.189653174896,0,0,16.7193135902078,78.5149024628043,98.260446363323,31.2326392539802,19.4655194833771,2.8236841566564,18.9703577448662,17.7215391880545,5.96930528795185,133.67583980643,2.86239931446527,31.1190932347612,0,95.9656778689004,46.1433616819789,34.8755288283145,0,0,35.5052039347094,15.9294400598651,143.600513356444,33.504086058231,0,143.708411160022,34.8755288283145,8.5291252066825,0,0,0,0,0,243.608865548664,0,0,0,0,0,0,30.5830807991459,77.1879352173184,28.7672231044309,0,456.778372610888,84.0322177969477,7.8758863487081,-7.83733378427746,-19.4919829584215,-24.2731122141253,-46.8250256483363,-47.7590221513835,0,0,34,0,0,0,0,0,0,4,2,12,0,52,93,9,0,6,0,0,33,30,18,0,0,0,0,6,6,14,20,0,4,2,0,0,0,1,0,0,0,0,0,0,0.088600000000009
x,010.mol2,70,41,29,0,22,3,16,0,0,0,0,0,0,0,42,71,63,60,31,8,8,0,0,11,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.04207840071278,2017.84845363869,23106.3670299586,23406.3469317471,0.086209456756441,0.987183822291314,6.40505700561627,0.000489225947821,0.996277034546998,0.766200354317104,0.118763971467951,2.99713301478182,2200.61819831299,35570441518771.1,-4.36,10.4799902578078,12.4367108948815,7.049310321009,56.0077072105783,31.1041316554374,47.8736134339217,23.3139164796897,6.75592890855536,4.16546105728688,2.38490199671688,18.8736134339217,9.50896485094267,6.75592890855536,4.16546105728688,2.38490199671688,124.0273,591.479000000001,591.154781848001,41,562.247,8,19,16,8,19,18,228,3,0,2,2,0,2,2,0,0,0,2,0.636363636363636,0,0,305.91,270.835153886339,50.7082433756894,24.0780584671378,19.1781487362873,0,0,0,6.37292490132938,53.920696188357,26.0965022678258,12.5768777112659,7.01289288931189,33.4651093476929,5.72479862893054,29.8465264397592,109.052589522028,10.0183976006284,15.1096328149893,0,67.6793887765795,19.5527046115482,0,0,0,47.5680656278138,5.30981335328838,140.044760477785,43.0931604263746,0,73.3964039888803,0,1.4118420783282,5.72479862893054,0,0,0,0,149.909791830931,0,0,0,0,0,0,40.4985202915505,40.2161693585312,38.3562974725746,0,233.70956500132,103.251395065264,23.1543976197967,-14.8406049407937,-24.5368046507645,-5.33720977764827,-34.1240726813421,-15.4433323024986,0,0,22,0,0,0,0,0,0,1,2,16,0,41,53,8,0,10,0,0,18,35,19,0,0,0,0,8,8,7,8,0,4,6,0,0,2,0,0,0,0,0,0,0,-4.12379999999999
mix,012.mol2,89,41,48,0,28,4,9,0,0,0,0,0,0,0,40,88,81,77,29,7,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01046405055821,3647.30617949906,31009.3717214705,32682.4274841906,0.111598386664007,0.948808705732479,7.58836201241108,0.000260139582212,0.993753389978616,0.703275172701119,0.070818186324755,8.07575415934986,2578.94451151447,1.35385785270193E+019,-3.29,7.08200025290616,22.4048294492195,18.640491214496,72.8339806242113,38.5223212258369,67.4630889961746,32.8602921231488,5.44882951671712,2.80275485833318,1.35940487543785,19.4630889961746,9.33287177029347,5.44882951671712,2.80275485833318,1.35940487543785,150.636,584.711000000002,584.342129116001,41,536.327,6,13,9,6,13,28,234,4,0,0,0,0,0,0,0,0,0,0,0.678571428571429,0,0,196.81,309.626874572793,20.8372430887912,29.5972163783749,14.9209726340025,0,0,51.29962733198,38.2375494079763,71.7036537704905,36.7056376206524,0,8.42473496764009,16.1079584304009,13.2455591159356,5.96930528795185,107.867312774932,2.86239931446527,20.7460621565074,0,95.7799338615276,25.9874387372638,24.2082869841423,0,0,29.5980242053579,10.6196267065768,93.3808328850707,23.9726859203591,0,147.750742409693,24.2082869841423,5.68608347112167,1.43119965723263,0,0,0,0,196.319745944799,0,0,0,0,0,0,20.636684024302,66.1203421447362,23.9726859203591,0,379.333433769746,68.0363572169537,7.48770282664172,-5.56249200525111,-16.2108286184308,-10.1959121048671,-58.1918212063292,-28.9464398784627,0,0,28,0,0,0,0,0,0,4,0,9,0,41,81,7,0,0,0,0,28,22,13,0,0,0,0,5,4,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3035
h,013.mol2,97,45,52,0,31,6,8,0,0,0,0,0,0,0,45,97,92,81,29,5,5,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37197323213167,2652.69744130554,40652.4982140715,41024.6629595498,0.064661041674397,0.990928268055602,8.13724196032223,0.000373554953017,0.997907285117,0.820226626764114,0.110809596882304,3.99110414186079,3140.31553481541,1.90830135521705E+023,-3.59,7.74990158030183,24.6983718711879,20.1381704752737,78.9362749197833,42.0597372654104,73.4492678967107,36.041617312306,6.05332276717247,3.1679732796487,1.56505555685333,21.4492678967107,10.5280180589146,6.05332276717247,3.1679732796487,1.56505555685333,165.7393,636.791000000002,636.384662624002,45,584.375,7,14,9,6,14,29,254,5,1,0,0,0,0,0,1,0,0,1,0.645161290322581,0,0,205.84,338.877202621554,16.339343682303,39.6012873834905,15.189653174896,0,0,36.5850184396458,63.043710386648,104.581788936685,21.4512690192018,2.8236841566564,2.8236841566564,33.8294976184554,0,0,111.226389696161,0,25.8092798814728,5.71971697572627,89.2209486186113,38.9811581058957,35.7755450300135,0,0,29.5358986467575,16.339343682303,99.3353113906807,30.3456108216885,0,150.095610236639,30.2120935383165,9.94096728501071,0,0,0,0,0,225.042547258477,0,0,0,0,0,0,15.6286014631314,71.6251023126706,23.9726859203591,0,418.01183119449,68.2911245272436,2.34165621242231,-2.8543047738707,-16.240137303845,-6.9780424422148,-71.5935674513182,-30.1452266295738,0,0,31,0,0,0,0,0,0,6,0,8,0,45,86,5,0,3,3,0,29,22,14,0,0,0,0,5,3,11,20,0,6,0,0,0,0,1,0,0,0,0,0,0,2.14490000000001
h,014.mol2,102,48,54,0,33,6,9,0,0,0,0,0,0,0,48,102,96,84,30,6,6,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11670918684109,3857.04945301699,64075.2417169444,66326.077149549,0.058152835487621,0.966064095310061,9.9443364784839,0.00025046712703,0.998307691909038,0.835899808117317,0.052376300465551,4.00124355582009,3357.33162807139,3.92744817978534E+027,-4.08,8.43798887447136,25.9419426075778,21.6652019305368,83.0136251889729,44.1817457333385,76.8575161871745,37.772134659788,6.47027873045594,3.32542022498245,1.64377902952021,22.8575161871745,11.2057490018965,6.47027873045594,3.32542022498245,1.64377902952021,175.3686,678.828000000002,678.395227308002,48,624.396,6,15,9,6,15,30,270,6,1,0,0,0,0,0,1,0,0,1,0.636363636363636,0,0,208.92,358.730464805084,15.9294400598651,44.3958245675623,15.189653174896,0,0,30.2120935383165,62.9197756036614,122.042816406807,21.4512690192018,0,4.2355262349846,39.7366773478069,0,0,118.721360470415,0,31.1190932347612,0,96.072840735907,38.9811581058957,35.7755450300135,0,0,35.443078376109,15.9294400598651,105.242491120032,35.1401480057603,0,161.059778022445,30.2120935383165,8.5291252066825,0,0,0,0,0,237.391715482686,0,0,0,0,0,0,15.6286014631314,74.3255359028531,28.7672231044309,0,434.681674754036,80.7546471087433,0.762568972441321,-1.6781623177483,-19.0695808548055,-7.0204338352269,-72.7904491947688,-34.890264632671,0,0,33,0,0,0,0,0,0,6,0,9,0,48,90,6,0,3,3,0,30,24,15,0,0,0,0,6,3,12,21,0,6,0,0,0,0,1,0,0,0,0,0,0,2.32230000000001
h,015.mol2,108,46,62,0,32,6,8,0,0,0,0,0,0,0,45,107,102,97,35,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2539358253591,3816.10581451605,49948.0358547226,50974.3119626743,0.074863311883648,0.979866798227642,8.91526505300639,0.000256771391008,0.99719380490144,0.793627640669207,0.080999719550224,7.96401649583893,3318.8246521929,2.25171794384453E+031,-2.81,7.08190633909579,28.415723482089,24.426048248986,88.9721733046455,46.1343107848675,83.9492678967106,41.041617312306,5.92832276717247,2.9804732796487,1.35533918898059,21.9492678967107,10.5280180589146,5.92832276717247,2.9804732796487,1.35533918898059,173.5163,658.882000000003,658.462912944002,46,596.386,7,14,9,6,14,35,268,5,0,0,0,0,0,0,0,0,0,0,0.84375,0,0,205.84,362.424408217945,16.339343682303,39.6012873834905,15.189653174896,0,0,39.1954838399089,69.7471414816434,131.516092180567,8.22455133702132,2.8236841566564,2.8236841566564,33.8294976184554,0,0,124.933975257863,0,25.8092798814728,11.6136746610894,128.41643245852,38.9811581058957,0,0,0,29.5358986467575,16.339343682303,99.3353113906807,23.9726859203591,5.89395768536308,203.808153047882,0,9.94096728501071,0,0,0,0,0,234.356443753736,0,0,0,0,0,0,15.6286014631314,85.3326878743728,23.9726859203591,0,498.279435963258,68.8096706341306,1.42476064524233,-1.20559631272804,-22.3648444876148,0,-95.1379421202352,-40.2221509887195,0,0,32,0,0,0,0,0,0,6,0,8,0,46,102,5,0,0,0,0,35,22,14,0,0,0,0,5,3,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50870000000001
h,016.mol2,114,48,66,0,34,6,8,0,0,0,0,0,0,0,47,113,108,103,37,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18248183897901,4912.31583257294,45756.7770363439,47804.6568972315,0.102758102482217,0.957161498611107,8.46617227565599,0.000194849340155,0.994706374954064,0.724386509094925,0.086956656169225,8.02448144251044,3538.7179241693,1.24917598189914E+034,-2.81,7.26785038376527,30.2632674519947,26.1796570339657,93.9721733046455,48.6343107848675,88.9492678967106,43.541617312306,6.17832276717247,3.1054732796487,1.41783918898059,22.9492678967107,11.0280180589146,6.17832276717247,3.1054732796487,1.41783918898059,182.7503,686.936000000003,686.494213072002,48,620.408,7,14,9,6,14,37,280,5,0,0,0,0,0,0,0,0,0,0,0.852941176470588,0,0,205.84,380.774174447409,16.339343682303,39.6012873834905,15.189653174896,0,0,51.9413336425676,69.7471414816434,136.999126405248,8.22455133702132,2.8236841566564,2.8236841566564,33.8294976184554,0,0,130.417009482544,0,25.8092798814728,11.6136746610894,141.162282261179,38.9811581058957,0,0,0,29.5358986467575,16.339343682303,99.3353113906807,23.9726859203591,5.89395768536308,222.037037075222,0,9.94096728501071,0,0,0,0,0,247.102293556394,0,0,0,0,0,0,15.6286014631314,90.8157220990537,23.9726859203591,0,532.763839950853,69.0421360423161,1.30348163874171,-1.21171562001201,-22.5481095334903,0,-106.818298810591,-40.4480003344849,0,0,34,0,0,0,0,0,0,6,0,8,0,48,108,5,0,0,0,0,37,22,14,0,0,0,0,5,3,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28890000000001
h,017.mol2,113,49,64,0,34,6,9,0,0,0,0,0,0,0,48,112,106,100,36,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38702454647669,3696.93598718408,65011.9887450662,65774.1395066049,0.056206527594524,0.988412607640999,9.79455893696845,0.000267359946471,0.998419163606031,0.841957795653449,0.082787589734805,7.98210374465978,3537.33959716779,2.91860515672683E+033,-3.3,7.72808976877356,29.6020525784672,27.2388407434268,93.0495235738352,48.2563192527956,87.3575161871745,42.772134659788,6.34527873045594,3.13792022498245,1.43406266164747,23.3575161871745,11.2057490018965,6.34527873045594,3.13792022498245,1.43406266164747,183.1456,700.919000000003,700.473477628002,49,636.407,6,15,9,6,15,36,284,6,0,0,0,0,0,0,0,0,0,0,0.823529411764706,0,0,208.92,382.277670401474,15.9294400598651,44.3958245675623,15.189653174896,0,0,32.8225589385795,69.6232066986569,148.977119650689,8.22455133702132,0,4.2355262349846,39.7366773478069,0,0,132.428946032118,0,31.1190932347612,5.89395768536308,135.268324575816,38.9811581058957,0,0,0,35.443078376109,15.9294400598651,105.242491120032,28.7672231044309,5.89395768536308,214.772320833688,0,8.5291252066825,0,0,0,0,0,246.705611977945,0,0,0,0,0,0,15.6286014631314,88.0331214645553,28.7672231044309,0,514.99174599614,81.2913850072418,-0.174424926333023,0,-25.2252887169338,0,-96.3752884941696,-45.0081288659457,0,0,34,0,0,0,0,0,0,6,0,9,0,49,106,6,0,0,0,0,36,24,15,0,0,0,0,6,3,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68610000000001
